datetime,open_interest,oi_usd
2026-04-02 06:00:00,2191443.603,4491055995.856852
2026-04-02 07:00:00,2181506.524,4469320769.582614
2026-04-02 08:00:00,2178422.797,4476201379.04763
2026-04-02 09:00:00,2179926.151,4458123372.88708
2026-04-02 10:00:00,2175932.449,4445038325.46618
2026-04-02 11:00:00,2168854.993,4419822836.03498
2026-04-02 12:00:00,2160332.296,4390363325.873943
2026-04-02 13:00:00,2164733.553,4385317231.6674
2026-04-02 14:00:00,2167168.439,4416039128.1503
2026-04-02 15:00:00,2169683.236,4475318823.56776
2026-04-02 16:00:00,2157600.245,4442397112.564938
2026-04-02 17:00:00,2159881.24,4453955901.4412
2026-04-02 18:00:00,2144329.908,4387417461.835417
2026-04-02 19:00:00,2146212.611,4415639287.99751
2026-04-02 20:00:00,2144615.874,4426419360.017881
2026-04-02 21:00:00,2142739.329,4429374644.128186
2026-04-02 22:00:00,2142215.426,4417740917.95998
2026-04-02 23:00:00,2150561.298,4428177757.48584
2026-04-03 00:00:00,2148051.163,4416901813.019126
2026-04-03 01:00:00,2157120.77,4426519676.0785
2026-04-03 02:00:00,2160121.312,4427039021.66528
2026-04-03 03:00:00,2159998.791,4431132115.143497
2026-04-03 04:00:00,2170967.423,4457417219.777362
2026-04-03 05:00:00,2170750.453,4457961667.80345
2026-04-03 06:00:00,2163824.798,4449197522.519467
2026-04-03 07:00:00,2164606.242,4465108594.927606
2026-04-03 08:00:00,2166631.794,4473856325.11266
2026-04-03 09:00:00,2168838.908,4467522922.9400015
2026-04-03 10:00:00,2174123.047,4478960135.533697
2026-04-03 11:00:00,2173889.838,4475706251.104551
2026-04-03 12:00:00,2171951.483,4478431586.755625
2026-04-03 13:00:00,2168633.395,4443638258.02475
2026-04-03 14:00:00,2187689.833,4478660503.01593
2026-04-03 15:00:00,2188213.396,4494764761.790968
2026-04-03 16:00:00,2186718.651,4483434922.996426
2026-04-03 17:00:00,2180480.453,4478512956.732528
2026-04-03 18:00:00,2178058.832,4463727105.87983
2026-04-03 19:00:00,2171825.896,4448312081.92824
2026-04-03 20:00:00,2167904.766,4447672275.157961
2026-04-03 21:00:00,2164900.005,4441746989.25855
2026-04-03 22:00:00,2158251.804,4440379782.948109
2026-04-03 23:00:00,2157715.901,4425669507.38209
2026-04-04 00:00:00,2156479.123,4427251639.519
2026-04-04 01:00:00,2155062.952,4420647472.643483
2026-04-04 02:00:00,2153186.763,4415192132.151727
2026-04-04 03:00:00,2152889.219,4411937405.38889
2026-04-04 04:00:00,2151765.932,4409420265.51372
2026-04-04 05:00:00,2152322.724,4412604074.985581
2026-04-04 06:00:00,2151809.095,4417190674.0341
2026-04-04 07:00:00,2151545.064,4422522394.50264
2026-04-04 08:00:00,2151295.436,4416007167.38592
2026-04-04 09:00:00,2150917.043,4408218442.94678
2026-04-04 10:00:00,2148166.339,4402209502.227859
2026-04-04 11:00:00,2154487.307,4424054480.218724
2026-04-04 12:00:00,2151816.836,4413488748.5194
2026-04-04 13:00:00,2155929.288,4417263964.400421
2026-04-04 14:00:00,2153396.678,4419726007.915377
2026-04-04 15:00:00,2151516.357,4415639982.178493
2026-04-04 16:00:00,2154076.725,4426994278.116539
2026-04-04 17:00:00,2146844.372,4411013788.9298
2026-04-04 18:00:00,2144930.522,4409741809.4603405
2026-04-04 19:00:00,2145619.925,4407489537.5365
2026-04-04 20:00:00,2147067.982,4431054489.21214
2026-04-04 21:00:00,2147568.858,4428007801.24446
2026-04-04 22:00:00,2144218.548,4433967785.238556
2026-04-04 23:00:00,2148221.089,4443151511.741388
2026-04-05 00:00:00,2147199.629,4432764802.09276
2026-04-05 01:00:00,2147238.616,4426038542.00232
2026-04-05 02:00:00,2145185.124,4411692689.319125
2026-04-05 03:00:00,2144979.199,4416469271.15702
2026-04-05 04:00:00,2147738.333,4415080317.874821
2026-04-05 05:00:00,2147035.496,4410547667.658
2026-04-05 06:00:00,2142517.837,4387298050.36001
2026-04-05 07:00:00,2126868.133,4333154088.896578
2026-04-05 08:00:00,2127162.884,4331578108.993811
2026-04-05 09:00:00,2131059.254,4343744916.636663
2026-04-05 10:00:00,2130853.932,4354103243.202163
2026-04-05 11:00:00,2126043.522,4344972231.010371
2026-04-05 12:00:00,2127741.959,4342762623.109005
2026-04-05 13:00:00,2152389.389,4363642589.971228
2026-04-05 14:00:00,2154213.448,4385224605.4212
2026-04-05 15:00:00,2140844.734,4361585793.47288
2026-04-05 16:00:00,2133753.962,4381192221.868111
2026-04-05 17:00:00,2133770.815,4376998862.439898
2026-04-05 18:00:00,2148084.021,4428146324.25024
2026-04-05 19:00:00,2146060.01,4424660686.2176
2026-04-05 20:00:00,2146898.7,4424736751.713
2026-04-05 21:00:00,2141815.138,4429038105.71882
2026-04-05 22:00:00,2134945.193,4396151044.71402
2026-04-05 23:00:00,2147214.615,4476770695.1058
2026-04-06 00:00:00,2153537.738,4542177190.85746
2026-04-06 01:00:00,2172634.054,4608460997.30156
2026-04-06 02:00:00,2177083.704,4602159012.72264
2026-04-06 03:00:00,2189124.362,4668762394.981933
2026-04-06 04:00:00,2206099.85,4695396737.7445
2026-04-06 05:00:00,2211020.917,4710002850.081646
2026-04-06 06:00:00,2218264.938,4726035633.05838
2026-04-06 07:00:00,2224502.619,4730169918.722892
2026-04-06 08:00:00,2240155.221,4780513643.16621
2026-04-06 09:00:00,2256065.653,4822453136.57015
2026-04-06 10:00:00,2273237.154,4886891571.8115
2026-04-06 11:00:00,2278726.197,4904798628.20871
2026-04-06 12:00:00,2278666.963,4900387237.27965
2026-04-06 13:00:00,2284799.299,4895113954.12853
2026-04-06 14:00:00,2294091.907,4919725976.39964
2026-04-06 15:00:00,2329896.83,5022337960.629859
2026-04-06 16:00:00,2332897.764,5047199482.42661
2026-04-06 17:00:00,2326006.048,4975968157.040199
2026-04-06 18:00:00,2315580.305,4941620172.572033
2026-04-06 19:00:00,2302366.054,4935605361.784816
2026-04-06 20:00:00,2296838.572,4922905984.91048
2026-04-06 21:00:00,2297878.459,4935141045.070746
2026-04-06 22:00:00,2293552.463,4904830748.69939
2026-04-06 23:00:00,2262601.916,4761636067.925184
2026-04-07 00:00:00,2206076.559,4647056150.00232
2026-04-07 01:00:00,2208231.882,4662768203.8359165
2026-04-07 02:00:00,2194492.676,4605226628.54915
2026-04-07 03:00:00,2209611.409,4653302781.537874
2026-04-07 04:00:00,2211360.505,4659992261.004811
2026-04-07 05:00:00,2220046.565,4690825412.787393
2026-04-07 06:00:00,2215788.659,4664248456.271678
2026-04-07 07:00:00,2210440.042,4648601313.506946
2026-04-07 08:00:00,2218506.572,4665975377.914347
2026-04-07 09:00:00,2231711.788,4717816402.71412
2026-04-07 10:00:00,2233821.369,4751907485.8341465
2026-04-07 11:00:00,2214373.633,4624311338.474504
2026-04-07 12:00:00,2208849.592,4613168075.295741
2026-04-07 13:00:00,2196378.1,4581387944.669391
2026-04-07 14:00:00,2196245.282,4557648209.2064
2026-04-07 15:00:00,2193070.042,4537074278.149112
2026-04-07 16:00:00,2187861.693,4549344356.127938
2026-04-07 17:00:00,2173331.798,4526290530.49475
2026-04-07 18:00:00,2155718.341,4523751576.6161375
2026-04-07 19:00:00,2141284.875,4465242762.68625
2026-04-07 20:00:00,2148031.036,4539992193.3806305
2026-04-07 21:00:00,2133073.088,4510511028.96128
2026-04-07 22:00:00,2141244.139,4591384157.49214
2026-04-07 23:00:00,2161065.389,4792270200.021149
2026-04-08 00:00:00,2247393.77,5033246710.938128
2026-04-08 01:00:00,2280847.908,5098538988.10596
2026-04-08 02:00:00,2297400.79,5130279756.1332
2026-04-08 03:00:00,2294007.707,5130181195.47238
2026-04-08 04:00:00,2300298.223,5138613197.37747
2026-04-08 05:00:00,2309776.146,5178333337.24032
2026-04-08 06:00:00,2320227.371,5196622217.9786215
2026-04-08 07:00:00,2345040.635,5263936163.79085
2026-04-08 08:00:00,2365431.391,5328472912.432378
